"specimen","picture_number","link_path"
"A. pusilus_1",1786,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_1\IMG_1786.JPG"
"A. pusilus_1",1787,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_1\IMG_1787.JPG"
"A. pusilus_1",1788,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_1\IMG_1788.JPG"
"A. pusilus_1",1789,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_1\IMG_1789.JPG"
"A. pusilus_1",1790,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_1\IMG_1790.JPG"
"A. pusilus_1",1791,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_1\IMG_1791.JPG"
"A. pusilus_2",1793,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_2\IMG_1793.JPG"
"A. pusilus_2",1792,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_2\IMG_1792.JPG"
"A. pusilus_3_box",1794,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1794.JPG"
"A. pusilus_3_box",1795,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1795.JPG"
"A. pusilus_3_box",1796,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1796.JPG"
"A. pusilus_3_box",1797,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1797.JPG"
"A. pusilus_3_box",1798,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1798.JPG"
"A. pusilus_3_box",1799,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1799.JPG"
"A. pusilus_3_box",1800,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1800.JPG"
"A. pusilus_3_box",1801,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1801.JPG"
"A. pusilus_3_box",1802,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1802.JPG"
"A. pusilus_3_box",1803,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\A. pusilus_3_box\IMG_1803.JPG"
