specimen,bone,sex,age,side_of_body,plane_of_picture,orientation
Arctocephalus pusillus_1,rib,-,-,-,coronal,-
Arctocephalus pusillus_1,rib,-,-,-,coronal,-
Arctocephalus pusillus_1,mandible,-,-,left,midsagittal,interior
Arctocephalus pusillus_1,mandible,-,-,left,midsagittal,exterior
Arctocephalus pusillus_1,vertebrae,-,-,-,coronal,anterior
Arctocephalus pusillus_1,vertebrae,-,-,-,coronal,posterior
Arctocephalus pusillus_2,phalange (2),-,-,-,transverse,dorsal & ventral
Arctocephalus pusillus_2,phalange (2),-,-,-,midsagittal,sides
Arctocephalus pusillus_3_box,skull,female,adult,-,transverse,dorsal
Arctocephalus pusillus_3_box,skull,female,adult,-,transverse,ventral
Arctocephalus pusillus_3_box,lower jaw,female,adult,-,transverse,dorsal
Arctocephalus pusillus_3_box,mandible,female,adult,right,midsagittal,interior
Arctocephalus pusillus_3_box,mandible,female,adult,right,midsagittal,exterior
Arctocephalus pusillus_3_box,pelvis,female,-,right,midsagittal,exterior
Arctocephalus pusillus_3_box,pelvis,female,-,right,midsagittal,interior
Arctocephalus pusillus_3_box,vertebrae (3),female,-,-,midsagittal,-
Arctocephalus pusillus_3_box,vertebrae (3),female,-,-,midsagittal,-
Arctocephalus pusillus_3_box,femur,female,-,left,transverse,ventral
Arctocephalus pusillus_3_box,femur,female,-,left,transverse,dorsal
Arctocephalus pusillus_3_box,"vertebrae (lumbar,caudal)",female,-,-,coronal,anterior
Arctocephalus pusillus_3_box,"vertebrae (lumbar,caudal)",female,-,-,coronal,posterior
Arctocephalus pusillus_3_box,"vertebrae (lumbar,caudal)",female,-,-,midsagittal,left
Arctocephalus pusillus_3_box,"vertebrae (lumbar,caudal)",female,-,-,midsagittal,right
Arctocephalus pusillus_3_box,"vertebrae (lumbar,caudal)",female,-,-,transverse,ventral
Arctocephalus pusillus_3_box,"vertebrae (thoracical, 2)",female,adult,-,sagittal,right
Arctocephalus pusillus_3_box,"vertebrae (thoracical, 2)",female,adult,-,sagittal,left
Arctocephalus pusillus_3_box,atlas,female,adult,-,transverse,dorsal
Arctocephalus pusillus_3_box,atlas,female,adult,-,transverse,ventral
Arctocephalus pusillus_3_box,skull,male,-,-,transverse,dorsal
Arctocephalus pusillus_3_box,skull,male,-,-,transverse,ventral
Arctocephalus pusillus_3_box,humerus,male,adult,right,transverse,dorsal
Arctocephalus pusillus_3_box,humerus,male,adult,right,transverse,ventral
Arctocephalus pusillus_3_box,humerus,male,adult,right,coronal,anterior
Arctocephalus pusillus_3_box,rib,-,-,-,coronal,-
Arctocephalus pusillus_3_box,tibia fibula,-,-,right,midsagittal,exterior
Arctocephalus pusillus_3_box,tibia fibula,-,-,right,midsagittal,interior
Arctocephalus pusillus_3_box,humerus,male,-,right,transverse,dorsal
Arctocephalus pusillus_3_box,humerus,male,-,right,transverse,ventral
Arctocephalus pusillus_3_box,humerus,male,-,right,coronal,anterior
Arctocephalus pusillus_3_box,humerus,male,-,right,coronal,anterior
Arctocephalus pusillus_3_box,ulna,male,adult,right,transverse,dorsal
Arctocephalus pusillus_3_box,ulna,male,adult,right,transverse,ventral
Arctocephalus pusillus_3_box,femur,female,adult,left,transverse,ventral
Arctocephalus pusillus_3_box,femur,female,adult,left,transverse,dorsal
Arctocephalus pusillus_3_box,scapula,male,adult,left,transverse,dorsal
Arctocephalus pusillus_3_box,scapula,male,adult,left,transverse,ventral
Arctocephalus pusillus_3_box,femur,male,-,left,transverse,dorsal
Arctocephalus pusillus_3_box,femur,male,-,left,transverse,ventral
Arctocephalus pusillus_3_box,mandible,male,adult,right,midsagittal,exterior
Arctocephalus pusillus_3_box,mandible,male,adult,right,midsagittal,interior
Arctocephalus pusillus_3_box,baculum (2),male,-,-,-,-
Arctocephalus pusillus_3_box,baculum (2),male,-,-,-,-
Arctocephalus pusillus_3_box,vertebrae (cervical),male,-,-,coronal,anterior
Arctocephalus pusillus_3_box,vertebrae (cervical),male,-,-,coronal,posterior
Arctocephalus pusillus_3_box,vertebrae (cervical),male,-,-,midsagittal,left
Arctocephalus pusillus_3_box,vertebrae (cervical),male,-,-,midsagittal,right
Cystophora cristata,forelimb (complete),-,-,left,transverse,dorsal
Cystophora cristata,radius,-,-,left,transverse,dorsal
Cystophora cristata,radius,-,-,left,transverse,ventral
Cystophora cristata,ulna,-,-,left,transverse,dorsal
Cystophora cristata,ulna,-,-,left,transverse,ventral
Cystophora cristata,humerus,-,-,left,transverse,dorsal
Cystophora cristata,humerus,-,-,left,transverse,ventral
Cystophora cristata,humerus,-,-,left,coronal,anterior
Cystophora cristata,forelimb (complete),-,-,right,transverse,dorsal
Cystophora cristata,radius,-,-,right,transverse,dorsal
Cystophora cristata,radius,-,-,right,transverse,ventral
Cystophora cristata,ulna,-,-,right,transverse,dorsal
Cystophora cristata,ulna,-,-,right,transverse,ventral
Cystophora cristata,scapula,-,-,right,transverse,dorsal
Cystophora cristata,scapula,-,-,right,transverse,ventral
Cystophora cristata,humerus,-,-,right,transverse,dorsal
Cystophora cristata,humerus,-,-,right,transverse,ventral
Cystophora cristata,humerus,-,-,right,coronal,anterior
Halichoerus grypus_1,scapula,-,-,right,transverse,dorsal
Halichoerus grypus_1,scapula,-,-,right,transverse,ventral
Halichoerus grypus_1,scapula,-,-,left,transverse,dorsal
Halichoerus grypus_1,scapula,-,-,left,transverse,ventral
Halichoerus grypus_1,humerus,-,-,left,transverse,ventral
